,resource,gen_pwh,gen_share
0,l1_ccs,0.0,0.0
1,l1_chp,0.0,0.0
2,l1_unabated,3.078028809547334,0.22800213404054304
3,l4_ccs,0.0,0.0
4,l4_unabated,0.05694000343859027,0.004217778032488164
5,l2,1.6269174746335784,0.12051240552841311
6,l3,1.524483045923808,0.11292467006843011
7,wind,4.528355731899028,0.3354337579184462
8,solar,2.5371080437059597,0.18793392916340423
9,bio,0.24535008000000005,0.01817407999999999
10,re_share,,0.5233676870818504
11,clean_share,,0.7749788426786937
12,wind_curtail,0.0774,
13,solar_curtail,0.064,
14,total_gen,13.597183189148298,
15,total_demand,13.500000000000012,
